bundler, components, iteration, children, depth, styles, time, bundle_size, success
rollup-terser,6,1,1,5,false,3.13,136046,true
webpack,6,0,1,5,false,3.1,139578,true
webpack,6,1,1,5,false,3.08,139578,true
webpack-swc,6,0,1,5,false,2.05,138684,true
webpack-swc,6,1,1,5,false,2.03,138684,true
esbuild,4,0,3,1,false,0.17,134828,true
esbuild,4,1,3,1,false,0.17,134828,true
parcel,4,0,3,1,false,1.79,138113,true
parcel,4,1,3,1,false,1.79,138113,true
rollup,4,0,3,1,false,3.57,130959,true
rollup,4,1,3,1,false,3.57,130959,true
rollup-terser,4,0,3,1,false,3.11,134654,true
rollup-terser,4,1,3,1,false,3.06,134654,true
webpack,4,0,3,1,false,3,137640,true
webpack,4,1,3,1,false,3.04,137640,true
webpack-swc,4,0,3,1,false,1.99,134790,true
webpack-swc,4,1,3,1,false,1.99,134790,true
esbuild,13,0,3,2,false,0.17,140173,true
esbuild,13,1,3,2,false,0.18,140173,true
parcel,13,0,3,2,false,1.87,145817,true
parcel,13,1,3,2,false,1.85,145817,true
rollup,13,0,3,2,false,3.74,137097,true
rollup,13,1,3,2,false,3.79,137097,true
rollup-terser,13,0,3,2,false,3.26,140846,true
rollup-terser,13,1,3,2,false,3.26,140846,true
webpack,13,0,3,2,false,3.23,146289,true
webpack,13,1,3,2,false,3.24,146289,true
webpack-swc,13,0,3,2,false,2.18,152241,true
webpack-swc,13,1,3,2,false,2.15,152241,true
esbuild,40,0,3,3,false,0.18,156220,true
esbuild,40,1,3,3,false,0.17,156220,true
parcel,40,0,3,3,false,1.97,168991,true
parcel,40,1,3,3,false,2.01,168991,true
rollup,40,0,3,3,false,4.28,155532,true
rollup,40,1,3,3,false,4.3,155532,true
rollup-terser,40,0,3,3,false,3.71,159476,true
rollup-terser,40,1,3,3,false,3.79,159476,true
webpack,40,0,3,3,false,3.82,172437,true
webpack,40,1,3,3,false,3.86,172437,true
webpack-swc,40,0,3,3,false,2.78,204850,true
webpack-swc,40,1,3,3,false,2.68,204850,true
esbuild,121,0,3,4,false,0.18,204523,true
esbuild,121,1,3,4,false,0.18,204523,true
parcel,121,0,3,4,false,2.46,238667,true
parcel,121,1,3,4,false,2.52,238667,true
rollup,121,0,3,4,false,5.79,211017,true
rollup,121,1,3,4,false,5.91,211017,true
rollup-terser,121,0,3,4,false,5.15,215528,true
rollup-terser,121,1,3,4,false,5.22,215528,true
webpack,121,0,3,4,false,5.32,250831,true
webpack,121,1,3,4,false,5.39,250831,true
webpack-swc,121,0,3,4,false,4.34,362962,true
webpack-swc,121,1,3,4,false,4.4,362962,true
esbuild,364,0,3,5,false,0.19,349918,true
esbuild,364,1,3,5,false,0.18,349918,true
parcel,364,0,3,5,false,3.62,448187,true
parcel,364,1,3,5,false,3.57,448187,true
rollup,364,0,3,5,false,9.63,377958,true
rollup,364,1,3,5,false,9.64,377958,true
rollup-terser,364,0,3,5,false,8.61,384170,true
rollup-terser,364,1,3,5,false,8.51,384170,true
webpack,364,0,3,5,false,9.42,486489,true
webpack,364,1,3,5,false,9.51,486489,true
webpack-swc,364,0,3,5,false,9.78,837784,true
webpack-swc,364,1,3,5,false,9.78,837784,true
esbuild,6,0,5,1,false,0.17,136010,true
esbuild,6,1,5,1,false,0.17,136010,true
parcel,6,0,5,1,false,1.8,139809,true
parcel,6,1,5,1,false,1.84,139809,true
rollup,6,0,5,1,false,3.49,132321,true
rollup,6,1,5,1,false,3.59,132321,true
rollup-terser,6,0,5,1,false,3.08,136026,true
rollup-terser,6,1,5,1,false,3.12,136026,true
webpack,6,0,5,1,false,3.07,139558,true
webpack,6,1,5,1,false,3.03,139558,true
webpack-swc,6,0,5,1,false,2.05,138664,true
webpack-swc,6,1,5,1,false,2.03,138664,true
esbuild,31,0,5,2,false,0.17,150815,true
esbuild,31,1,5,2,false,0.18,150815,true
parcel,31,0,5,2,false,1.95,161153,true
parcel,31,1,5,2,false,1.95,161153,true
rollup,31,0,5,2,false,4.14,149347,true
rollup,31,1,5,2,false,4.12,149347,true
rollup-terser,31,0,5,2,false,3.58,153226,true
rollup-terser,31,1,5,2,false,3.61,153226,true
webpack,31,0,5,2,false,3.63,163577,true
webpack,31,1,5,2,false,3.64,163577,true
webpack-swc,31,0,5,2,false,2.5,187260,true
webpack-swc,31,1,5,2,false,2.54,187260,true
esbuild,156,0,5,3,false,0.17,225040,true
esbuild,156,1,5,3,false,0.18,225040,true
parcel,156,0,5,3,false,2.65,268121,true
parcel,156,1,5,3,false,2.58,268121,true
rollup,156,0,5,3,false,6.75,234722,true
rollup,156,1,5,3,false,6.83,234722,true
rollup-terser,156,0,5,3,false,5.71,239476,true
rollup-terser,156,1,5,3,false,5.73,239476,true
webpack,156,0,5,3,false,6.01,284427,true
webpack,156,1,5,3,false,5.86,284427,true
webpack-swc,156,0,5,3,false,5.14,431010,true
webpack-swc,156,1,5,3,false,5.08,431010,true
esbuild,781,0,5,4,false,0.21,597415,true
esbuild,781,1,5,4,false,0.2,597415,true
parcel,781,0,5,4,false,5.27,804129,true
parcel,781,1,5,4,false,5.31,804129,true
rollup,781,0,5,4,false,15.97,662847,true
rollup,781,1,5,4,false,16.14,662847,true
rollup-terser,781,0,5,4,false,14.13,671976,true
rollup-terser,781,1,5,4,false,14.02,671976,true
webpack,781,0,5,4,false,15.69,891659,true
webpack,781,1,5,4,false,15.77,891659,true
webpack-swc,781,0,5,4,false,23.04,1651010,true
webpack-swc,781,1,5,4,false,22.79,1651010,true
esbuild,3906,0,5,5,false,0.39,2487047,true
esbuild,3906,1,5,5,false,0.38,2487047,true
parcel,3906,0,5,5,false,17.22,3490587,true
parcel,3906,1,5,5,false,16.95,3490587,true
rollup,3906,0,5,5,false,75.96,2811682,true
rollup,3906,1,5,5,false,75.12,2811682,true
rollup-terser,3906,0,5,5,false,54.36,2842702,true
rollup-terser,3906,1,5,5,false,53.92,2842702,true
webpack,3906,0,5,5,false,61.15,3931550,true
webpack,3906,1,5,5,false,62.06,3931550,true
webpack-swc,3906,0,5,5,false,306.03,7781897,true
webpack-swc,3906,1,5,5,false,308.51,7781897,true
esbuild,8,0,7,1,false,0.18,137192,true
esbuild,8,1,7,1,false,0.19,137192,true
parcel,8,0,7,1,false,1.82,141503,true
parcel,8,1,7,1,false,1.78,141503,true
rollup,8,0,7,1,false,3.61,133683,true
rollup,8,1,7,1,false,3.62,133683,true
rollup-terser,8,0,7,1,false,3.15,137398,true
rollup-terser,8,1,7,1,false,3.16,137398,true
webpack,8,0,7,1,false,3.07,141476,true
webpack,8,1,7,1,false,3.07,141476,true
webpack-swc,8,0,7,1,false,2.07,142538,true
webpack-swc,8,1,7,1,false,2.05,142538,true
esbuild,57,0,7,2,false,0.18,166190,true
esbuild,57,1,7,2,false,0.17,166190,true
parcel,57,0,7,2,false,2.09,183271,true
parcel,57,1,7,2,false,2.16,183271,true
rollup,57,0,7,2,false,4.58,167051,true
rollup,57,1,7,2,false,4.57,167051,true
rollup-terser,57,0,7,2,false,4.07,171110,true
rollup-terser,57,1,7,2,false,4.01,171110,true
webpack,57,0,7,2,false,4.14,188755,true
webpack,57,1,7,2,false,4.13,188755,true
webpack-swc,57,0,7,2,false,3.04,237904,true
webpack-swc,57,1,7,2,false,3.08,237904,true
esbuild,400,0,7,3,false,0.19,369785,true
esbuild,400,1,7,3,false,0.19,369785,true
parcel,400,0,7,3,false,3.65,476409,true
parcel,400,1,7,3,false,3.66,476409,true
rollup,400,0,7,3,false,10.21,401320,true
rollup,400,1,7,3,false,10.11,401320,true
rollup-terser,400,0,7,3,false,8.91,407780,true
rollup-terser,400,1,7,3,false,8.92,407780,true
webpack,400,0,7,3,false,9.82,520025,true
webpack,400,1,7,3,false,9.85,520025,true
webpack-swc,400,0,7,3,false,10.71,906754,true
webpack-swc,400,1,7,3,false,10.74,906754,true
esbuild,2801,0,7,4,false,0.32,1810960,true
esbuild,2801,1,7,4,false,0.32,1810960,true
parcel,2801,0,7,4,false,13.05,2532935,true
parcel,2801,1,7,4,false,12.84,2532935,true
rollup,2801,0,7,4,false,50.37,2046005,true
rollup,2801,1,7,4,false,50.47,2046005,true
rollup-terser,2801,0,7,4,false,38.82,2069272,true
rollup-terser,2801,1,7,4,false,38.98,2069272,true
webpack,2801,0,7,4,false,44.89,2852067,true
webpack,2801,1,7,4,false,44.92,2852067,true
webpack-swc,2801,0,7,4,false,166.87,5608198,true
webpack-swc,2801,1,7,4,false,165.22,5608198,true
esbuild,19608,0,7,5,false,1.36,12037363,true
esbuild,19608,1,7,5,false,1.43,12037363,true
parcel,19608,0,7,5,false,88.05,16962687,true
parcel,19608,1,7,5,false,86.79,16962687,true
rollup,19608,0,7,5,false,259.06,0,false
rollup,19608,1,7,5,false,253.92,0,false
rollup-terser,19608,0,7,5,false,247.93,0,false
rollup-terser,19608,1,7,5,false,266.4,0,false
webpack,19608,0,7,5,false,402.43,19260337,true
webpack,19608,1,7,5,false,412.38,19260337,true
webpack-swc,19608,0,7,5,false,75.56,0,false
webpack-swc,19608,1,7,5,false,80.29,0,false
